Now,Method,Delay,Try,Time
Start at October 23 2018 23:39:38.,,,,
Now,Method,Delay,Try,Time
Start at October 23 2018 23:40:52.,,,,
October 23 2018 23:40:53,wall.get,0.15,1,0.5210143089294433
October 23 2018 23:40:53,friends.get,0.15,1,0.04344806671142579
October 23 2018 23:40:53,photos.getAlbums,0.15,1,0.08816227912902833
October 23 2018 23:40:53,users.get,0.15,1,0.041918849945068365
October 23 2018 23:40:54,friends.get,0.15,1,0.039100742340087896
October 23 2018 23:40:54,friends.get,0.15,1,0.04245505332946778
October 23 2018 23:40:54,friends.getMutual,0.15,1,0.03964099884033204
October 23 2018 23:40:54,wall.get,0.15,1,0.1531611442565918
October 23 2018 23:40:54,users.get,0.15,1,0.04345283508300782
October 23 2018 23:40:55,photos.getAlbums,0.15,4,0.5820168018341064
October 23 2018 23:40:55,users.get,0.15,1,0.041336154937744146
October 23 2018 23:40:56,friends.get,0.15,1,0.04653415679931641
October 23 2018 23:40:56,friends.get,0.15,1,0.04147586822509766
October 23 2018 23:40:56,wall.get,0.15,1,0.1612497329711914
October 23 2018 23:40:56,friends.get,0.15,1,0.04248270988464356
October 23 2018 23:40:57,friends.get,0.15,1,0.03549895286560059
October 23 2018 23:40:57,friends.getMutual,0.15,1,0.04049263000488282
October 23 2018 23:40:57,photos.getAlbums,0.15,1,0.051330661773681646
October 23 2018 23:40:58,friends.get,0.15,6,0.9701279163360595
October 23 2018 23:40:58,friends.get,0.15,1,0.03749785423278809
October 23 2018 23:40:59,friends.getMutual,0.15,1,0.040901041030883795
October 23 2018 23:40:59,friends.getMutual,0.15,1,0.049926614761352545
October 23 2018 23:40:59,users.get,0.15,1,0.03227124214172364
October 23 2018 23:40:59,wall.get,0.15,1,0.17113289833068848
October 23 2018 23:40:59,photos.getAlbums,0.15,1,0.035525417327880865
October 23 2018 23:41:00,photos.getAlbums,0.15,1,0.03550491333007813
October 23 2018 23:41:00,photos.getAlbums,0.15,1,0.036500310897827154
October 23 2018 23:41:01,friends.getMutual,0.15,7,1.1600376129150392
October 23 2018 23:41:01,friends.getMutual,0.15,1,0.03650293350219727
