Now,Method,Try,Time
Start at October 18 2018 04:44:55.,,,
October 18 2018 04:44:55,friends.getMutual,1,0.2508394718170166
October 18 2018 04:44:55,photos.getAlbums,1,0.04088139533996582
October 18 2018 04:44:55,photos.getAlbums,1,0.03690290451049805
October 18 2018 04:44:55,wall.get,1,0.13170742988586426
October 18 2018 04:44:55,photos.getAlbums,1,0.03389167785644531
October 18 2018 04:44:55,wall.get,1,0.12269878387451172
October 18 2018 04:44:55,photos.getAlbums,1,0.03390955924987793
October 18 2018 04:44:55,users.get,1,0.032912254333496094
October 18 2018 04:44:55,friends.get,1,0.036899566650390625
October 18 2018 04:44:58,users.get,42,2.2005112171173096
October 18 2018 04:44:58,friends.get,1,0.035880088806152344
October 18 2018 04:44:58,friends.get,1,0.039597272872924805
October 18 2018 04:44:58,photos.getAlbums,1,0.0359036922454834
October 18 2018 04:44:58,friends.getMutual,1,0.03690314292907715
October 18 2018 04:44:58,friends.get,1,0.035930633544921875
October 18 2018 04:44:58,photos.getAlbums,1,0.034310102462768555
October 18 2018 04:44:58,wall.get,1,0.13340330123901367
October 18 2018 04:44:58,users.get,1,0.034911155700683594
October 18 2018 04:45:00,users.get,78,2.3519816398620605
October 18 2018 04:45:00,photos.getAlbums,1,0.035979270935058594
October 18 2018 04:45:01,friends.getMutual,1,0.03789353370666504
October 18 2018 04:45:01,wall.get,1,0.12566709518432617
October 18 2018 04:45:01,users.get,1,0.035970211029052734
October 18 2018 04:45:01,photos.getAlbums,1,0.03690814971923828
October 18 2018 04:45:01,photos.getAlbums,1,0.03590536117553711
October 18 2018 04:45:01,friends.get,1,0.03592848777770996
October 18 2018 04:45:01,photos.getAlbums,1,0.037885427474975586
October 18 2018 04:45:03,photos.getAlbums,84,2.5392189025878906
October 18 2018 04:45:03,friends.getMutual,1,0.037895917892456055
October 18 2018 04:45:04,users.get,1,0.039463043212890625
October 18 2018 04:45:04,friends.get,1,0.03789687156677246
October 18 2018 04:45:04,users.get,1,0.03591752052307129
October 18 2018 04:45:04,photos.getAlbums,1,0.0329132080078125
October 18 2018 04:45:04,users.get,1,0.03325605392456055
October 18 2018 04:45:04,users.get,1,0.03490710258483887
October 18 2018 04:45:04,wall.get,1,0.14461278915405273
October 18 2018 04:45:06,friends.getMutual,83,2.522092819213867
October 18 2018 04:45:06,friends.getMutual,1,0.036890268325805664
October 18 2018 04:45:07,photos.getAlbums,1,0.03581643104553223
October 18 2018 04:45:07,friends.getMutual,1,0.042884111404418945
October 18 2018 04:45:07,friends.getMutual,1,0.042879581451416016
October 18 2018 04:45:07,friends.get,1,0.0359039306640625
October 18 2018 04:45:07,wall.get,1,0.13463950157165527
October 18 2018 04:45:07,friends.getMutual,1,0.038864850997924805
October 18 2018 04:45:07,photos.getAlbums,1,0.03553342819213867
